5,5,insert,four____________,_____124,Q3N2gUXpeVRUtPuQ5wltv4RBSjkgXQILl9537lYi0IyKZ
1,1,insert,six_____________,_____105,ty0P8aRQTIlypdt5tGJvxHtqrnvUQM0Y5SBhd5A5799GbhUuDn
4,4,get,three___________,______32,
2,2,insert,seven___________,_____111,kjEpaIpS2XVSRzkUo874c2RrOtlVB7bcDHxm4yWUilZr
7,7,get,four____________,______94,
9,9,get,three___________,______76,
8,8,get,eight___________,______27,
9,9,get,seven___________,______64,
1,1,insert,three___________,_____103,YMgE9vJSJv1IXIL90v0YWovfjd7WeRAP50zZb529v9XD6OynQ4
6,6,insert,zero____________,_____133,60sOV1IwE9cmvLMXhrPYp35HYbACwMKudcbutUsAGBev13B
3,3,insert,four____________,_____118,qrcgKSHc6nSWcLEnXx37RZSdqfTD07m1PAR6SnQ15Y45sZijoK9HnxtT1nVZB
1,1,insert,zero____________,_____102,AVXsPNtn71tyTrP6x3kHVxgcG4AVun4yNV9ycohsyZgIgX2S
7,7,get,nine____________,______18,
4,4,get,two_____________,______87,
6,6,insert,nine____________,_____135,ytF0b5uDZ8eVdOoZchQa3EAdp8s0swJ3XgRo
9,9,get,seven___________,______64,
4,4,get,five____________,_______2,
6,6,insert,one_____________,_____134,u42xPmjbRJmja2n7yiDXFi7R2ZL5i5dDYgtcgRJfnpv5
4,4,get,three___________,______72,
9,9,get,zero____________,______86,
8,8,get,zero____________,_____133,
1,1,insert,two_____________,_____101,BVYzDfcI0aF1C2Fcu67dEJOQT3Ruw1rq
8,8,get,zero____________,______69,
6,6,insert,seven___________,_____128,iwD57PEq27RUObXbsKJTcsXa8ewrmAsaqjQk21yAzoK
1,1,insert,eight___________,_____106,OjMiVLWCkZX7l4VbvzEV6z2vd5gfrMkY1w8tp0
9,9,get,two_____________,_____101,
2,2,insert,eight___________,_____115,TGrJcBPOLRQQCG2jpGVXAPptejE5eZ2h9V1OkBOxVD
5,5,insert,two_____________,_____126,8s1JyKlLJoFfaqDYKs6druclrCrDbHrs6
6,6,insert,zero____________,_____136,bJf8DAUPQDoVC1mcbi5VgaY8XZCBpqSp1nxaYDn5gjtzjPE
7,7,get,eight___________,______93,
2,2,insert,one_____________,_____113,kkU0CQoJZ70Rst4e09b2end2otsULKLF2Cas
6,6,insert,three___________,_____129,FUQig4M1DBOLA0bvK30KnAwtOatB94fy369Z08socKqZ4gHd6GK9WT6Te2LC3cu
4,4,get,four____________,______81,
7,7,get,six_____________,______14,
6,6,insert,zero____________,_____130,hvj3MOMWSGLQQNY1eM0p4nwEa3TiLaSQsKIB8tWcIIZTJVpvIldN9d
9,9,get,zero____________,______22,
4,4,get,two_____________,______16,
2,2,insert,one_____________,_____114,0hDK5SSH66PkvobTRLqAaLGFonE5p6xADsJSyfFCaZ1W0gO
10,10,get,two_____________,______98,
5,5,insert,three___________,_____125,hRXS7K81YUaruW5qdWyNkNxQoKCSWxbSDqMRUib1Wu
8,8,get,eight___________,______35,
5,5,insert,seven___________,_____123,40F6PcGdjw6AikvbZ89JBceosLgYE5mbhN8NZx9D9
2,2,insert,three___________,_____109,fn5TxQtN9ULpk8nmYdfFc0ZVVDSjB6H8yj9mknE
4,4,get,three___________,______44,
3,3,insert,two_____________,_____119,inOKpEF3c5EQ48X4Y3sLrvZptKygm06OnRHv7cDjSO02BEgMiiq1vNR
9,9,get,six_____________,_______9,
1,1,insert,four____________,_____104,pDkcLRceDsMIrpo6JgWBOuClMPq0RaiwycApeDqsNzELaqFOOiwJIYxi
9,9,get,four____________,______12,
2,2,insert,nine____________,_____116,IsHTTfCTVo5RHUy7SYZC39JeOhT7nYW3WNkMQ7yEyuv1mNsrKzq5PyUOF
1,1,insert,four____________,_____108,2QXp2tcHyddnTTBv9F54V6P77XZhUgMiFuM1Z5r7
3,3,insert,four____________,_____120,Ra5vZg7w1iCGVWgSGcEw0TYUbRn6ZPOnfOmzbp
7,7,get,two_____________,______16,
7,7,get,zero____________,______84,
5,5,insert,six_____________,_____122,rJP5KsNm1vy6dtQo3WBfOaeey2BESUsdyezKIi
7,7,get,one_____________,______75,
3,3,insert,eight___________,_____121,O9viKJnLQYkaC4p6l0KnnWr6OIGNCMbWXLYYKYxOpHjkn16S6n1ldg2
2,2,insert,eight___________,_____112,TMEn3gZxrFD16WPVfnnaQovNA32jJF7M
10,10,get,two_____________,_____101,
10,10,get,nine____________,_______8,
8,8,get,eight___________,_____121,
2,2,insert,seven___________,_____110,WKn9jN7XMRtf9PXClTVIfAPjqLnqgb356KrTrI
6,6,insert,five____________,_____127,DXJWCJxlaqkrhvrXQH4ZT11sF6MOci9CUvv7sy0xNs0Zi2RUH3idylJ
3,3,insert,two_____________,_____117,AhDOaudqiHyMSxfIJJfk7JMH5O2RnGHk8FVnlBEqUF9STVIi971VU
7,7,get,eight___________,______19,
4,4,get,four____________,______20,
6,6,insert,four____________,_____131,9C3bPZMZVsyH1QW072tp6HPP6KpqlxjlhnWnLd
1,1,insert,nine____________,_____107,EIxI8JBvZuttQ8Axe5vRXD1t0Q8rZEDoE5S9KO
10,10,get,zero____________,______67,
8,8,get,two_____________,_____126,
9,9,get,four____________,_____108,
7,7,get,six_____________,_______6,
10,10,get,two_____________,_____117,
10,10,get,two_____________,_____117,
7,7,get,four____________,_____104,
6,6,insert,four____________,_____132,H7E5OCPbRSbQxyYTTnCrIxcnsppuTqTOjHtqNXOhv2pQaASQ
